Inh,VAS50
0.028682147247344535,False
0.12149300361902184,False
0.19355354289009102,False
0.2323846132422072,False
0.24875243554680118,False
0.25159791367824325,False
0.24655314291653033,False
0.2370328992218524,False
0.2251087960919494,False
0.21204308354191817,False
0.1986050139246883,False
0.185260459017249,False
0.17228727870096688,False
0.15984628198114764,False
0.14802516522015374,False
0.13686583356168033,False
0.12638145215335583,False
0.11656713694804204,False
0.10740670277243654,False
0.09887696386569403,False
0.09095051015073215,False
0.08359752830434176,False
0.07678701803319447,False
0.07048761950537373,False
0.14969765244748953,False
0.278728990211586,False
0.3473696270251204,False
0.3777612631794772,False
0.3866743749414673,False
0.383364054315892,False
0.3729787278495299,False
0.3585124664483313,False
0.34177624695668946,False
0.32389685763886256,False
0.3055887487158841,False
0.28731036419011835,False
0.26935774083678327,False
0.2519220852138144,False
0.23512581593519621,False
0.21904540087217758,False
0.20372598223335092,False
0.18919085963212845,False
0.17544774341442218,False
0.1624929744380096,False
0.15031445770169993,False
0.13889377483793375,False
0.1282077632035364,False
0.11822973872086524,False
0.20322200101818366,False
0.33173586968573443,False
0.39544972007804247,False
0.4221550278721947,False
0.428616547416803,False
0.4236063693590878,False
0.4119179926631017,True
0.39632783948988126,False
0.3785214883824537,False
0.35955770479084087,False
0.3401178354488619,False
0.32064816407279995,False
0.30144486377205815,False
0.28270623010239204,False
0.26456542201938654,False
0.24711126072901432,False
0.23040159848978164,False
0.21447203247914232,False
0.19934169596022402,False
0.18501721314325822,False
0.1714954976453948,False
0.15876581721701133,False
0.1468113849683396,False
0.1356106355497754,False
0.2217280520799334,False
0.3489858482133525,False
0.4108138838908855,False
0.4362590601921749,True
0.4419290274856968,True
0.43639659378493106,False
0.42432601760753275,False
0.4084171531684023,False
0.39031163430450294,False
0.3710439972085551,False
0.35128328551059085,False
0.3314706914621576,False
0.31190161928678156,False
0.2927761290500317,False
0.274230560370382,False
0.2563576284214857,False
0.23921934752964236,False
0.2228554617880614,False
0.2072890565283928,False
0.19253040134160587,False
0.17857968251175274,False
0.1654290336139007,False
0.1530641153795715,False
0.14146539697572852,False
0.22816779965246708,False
0.3547623958314265,False
0.4158775140538155,False
0.4408678068608335,False
0.44625894286149553,False
0.44054682297963244,False
0.42834834456949317,True
0.41233578654549885,False
0.3941349932610719,False
0.37477171105013535,False
0.35491039993840817,False
0.33499021346012,False
0.31530605252533744,False
0.29605838578982124,True
0.27738448351779427,False
0.2593782672901723,False
0.2421030765270363,False
0.2255999981979285,False
0.20989341339871995,False
0.1949947991430281,False
0.18090543559801217,False
0.16761842269101843,False
0.15512025402637883,False
0.14339209807634007,False
0.23055635486189985,False
0.35680097812174444,False
0.41760237655331334,True
0.4424017107591768,False
0.44767857105077535,True
0.4418945793722617,False
0.42964675284184956,True
0.4135960723325581,False
0.3953619443535483,False
0.3759664862706961,False
0.3560721936797602,False
0.33611725799674613,False
0.3163962243218083,False
0.29710956928653237,False
0.2783947838758439,False
0.2603461278722326,False
0.2430273356750732,False
0.22647990703827717,False
0.21072862857425442,False
0.1957853595599225,False
0.18165172928683793,False
0.16832114799200049,False
0.1557803780762465,False
0.14401081473610722,False
0.2316139666173705,False
0.35761197516731763,False
0.418232509942812,False
0.4429276838374869,False
0.4481440208664942,False
0.44232314892161817,True
0.4300513098902571,True
0.41398356244966544,False
0.395735963529653,False
0.3763287092690603,True
0.3564232015529922,False
0.3364570317719044,False
0.31672444414136985,False
0.29742579618369497,False
0.2786985690716407,False
0.2606370766138724,False
0.2433051422629902,False
0.22674437147408524,False
0.2109796614643234,False
0.1960229795601474,False
0.18187605590558736,False
0.16853239163810635,False
0.15597882863871726,False
0.1441968295848471,False
